seedId,temperature,hydrometry_rate,sunshine_rate,rainfall,humidity_rate,soil_type,moisture,water_level,suitable_plantation_location,seed_name,plant_name,season,soil_num,humidity_rate_tens,rainfall_tens,hydrometry_rate_tens,sunshine_rate_tens
737,25,50,80,70,60,Loamy,6,2,Canada/Toronto,chive,perennial,11,17,6,7,5,8
738,20,30,60,80,70,Sandy,6,4,Australia/Sydney,chive,perennial,10,31,7,8,3,6
740,20,50,30,10,70,Loamy,6,2,France/Paris,chive,perennial,10,17,7,1,5,3
752,28,65,90,70,75,Sandy loam,6,2,China/Sichuan,ginger,perennial,11,36,8,7,6,9
772,20,65,60,80,70,Sandy loam,6,2,China/Shanghai,wasabi,perennial,10,36,7,8,6,6
781,20,40,60,50,50,Loamy,6,2,United States/Los Angeles,bellflower,perennial,10,17,5,5,4,6
790,20,40,60,50,50,Loamy,6,1,Vietnam,shallot,perennial,10,17,5,5,4,6
804,25,50,80,80,70,Loamy,6,2,Hungary/Budapest,caraway,perennial,11,17,7,8,5,8
809,18,50,75,55,65,Sandy,2,1,Italy/Tuscany,wild thyme,perennial,9,31,6,6,5,8
840,20,30,40,20,50,Loamy,6,1,Greece,mugwort,perennial,10,17,5,2,3,4
864,15,65,60,70,75,Sandy,6,2,Brazil/Rio de Janeiro,aconite,perennial,9,31,8,7,6,6
866,30,60,70,60,80,Sandy,2,1,Indonesia,benzoin,perennial,12,31,8,6,6,7
888,22,55,85,50,60,Loamy,6,4,France/Paris,calla,perennial,10,17,6,5,6,8
889,18,70,70,60,65,Sandy,6,2,Australia/Sydney,calla,perennial,9,31,6,6,7,7
907,20,70,60,70,80,Loamy,6,4,Japan,horsetail,perennial,10,17,8,7,7,6
926,25,70,80,40,60,Sandy,6,2,Spain/Madrid,scorzonera,perennial,11,31,6,4,7,8
928,15,70,60,60,80,Clay,6,4,France/Paris,scorzonera,perennial,9,5,8,6,7,6
929,25,80,75,40,70,Loamy,6,4,Germany/Berlin,scorzonera,perennial,11,17,7,4,8,8
941,20,80,60,50,70,Sandy,6,4,Egypt,marine samphire,perennial,10,31,7,5,8,6
948,30,80,90,50,80,Loamy,6,4,Australia/Sydney,pennyroyal mint,perennial,12,17,8,5,8,9
949,15,40,50,80,50,Loamy,6,2,Canada/Toronto,pennyroyal mint,perennial,9,17,5,8,4,5
988,20,75,60,60,80,Sandy,6,2,Spain,agave americana,perennial,10,31,8,6,8,6
1002,25,70,90,70,70,Sandy,6,2,United Kingdom/London,white clover,perennial,11,31,7,7,7,9
1003,15,50,70,60,60,Clay,6,1,Australia/Sydney,white clover,perennial,9,5,6,6,5,7
1032,20,65,75,60,75,Well-drained,6,2,Sweden/Stockholm,pilea peperomioides,perennial,10,50,8,6,6,8
1036,15,60,60,70,70,Sandy,2,2,France/Paris,piloselle,perennial,9,31,7,7,6,6
1056,25,70,90,90,70,Loamy,6,4,Australia,tree fern,perennial,11,17,7,9,7,9
1057,20,60,70,80,60,Sandy,6,2,New Zealand,tree fern,perennial,10,31,6,8,6,7
1080,23,75,95,85,85,Clay,6,2,Italy/Rome,meadow cumin,perennial,10,5,8,8,8,10
1081,23,65,85,75,70,Well-drained,6,2,Madagascar,madagascar periwinkle,perennial,10,50,7,8,6,8
1082,25,70,90,80,75,Well-drained,6,2,Madagascar,madagascar periwinkle,perennial,11,50,8,8,7,9
1085,21,55,75,70,65,Well-drained,6,2,Madagascar,madagascar periwinkle,perennial,10,50,6,7,6,8
1088,25,70,80,50,60,Sandy,2,1,Australia/Sydney,stonecrop,perennial,11,31,6,5,7,8
1090,20,30,40,70,80,Clay,6,4,France/Paris,stonecrop,perennial,10,5,8,7,3,4
1099,12,35,50,40,40,Loamy,6,2,Canada/Toronto,common tansy,perennial,8,17,4,4,4,5
1101,20,80,60,90,70,Sandy,6,4,Netherlands/Amsterdam,marsh iris,perennial,10,31,7,9,8,6
1102,18,75,70,80,75,Loamy,6,2,United States/Seattle,marsh iris,perennial,9,17,8,8,8,7
1104,25,90,90,60,65,Loamy,6,4,France/Paris,marsh iris,perennial,11,17,6,6,9,9
1105,18,70,75,85,80,Peaty,6,2,Canada/Toronto,marsh iris,perennial,9,26,8,8,7,8
1113,15,40,60,50,50,Sandy,6,1,Germany,yellow gentian,perennial,9,31,5,5,4,6
1120,20,65,60,75,70,Loamy,6,2,China/Guangzhou,chinese peony,perennial,10,17,7,8,6,6
1122,20,70,70,60,75,Sandy,6,2,Germany/Berlin,white deadnettle,perennial,10,31,8,6,7,7
1152,20,55,60,50,60,Loamy,2,1,Spain/Madrid,characia spurge,perennial,10,17,6,5,6,6
1153,23,60,65,55,65,Sandy,6,2,Italy/Rome,characia spurge,perennial,10,31,6,6,6,6
1154,18,50,55,45,55,Loamy,2,1,France/Paris,characia spurge,perennial,9,17,6,4,5,6
1155,22,55,60,50,60,Sandy,6,2,Germany/Berlin,characia spurge,perennial,10,31,6,5,6,6
1156,20,70,80,70,70,Moist,6,4,China/Beijing,water mint,perennial,10,21,7,7,7,8
1157,18,75,70,60,65,Moist,6,4,United States/New York,water mint,perennial,9,21,6,6,8,7
1158,22,80,85,75,70,Moist,6,4,United Kingdom/London,water mint,perennial,10,21,7,8,8,8
1159,25,70,90,80,75,Moist,6,4,Australia/Sydney,water mint,perennial,11,21,8,8,7,9
1160,23,65,75,70,70,Moist,6,4,Germany/Berlin,water mint,perennial,10,21,7,7,6,8
1169,18,45,55,30,55,Loamy,6,2,Italy/Naples,naples cyclamen,perennial,9,17,6,3,4,6
1170,19,40,50,20,50,Loamy,6,2,Italy/Naples,naples cyclamen,perennial,9,17,5,2,4,5
1184,10,40,40,50,60,Clay,6,1,Brazil/Rio de Janeiro,arum italicum,perennial,8,5,6,5,4,4
1201,30,50,80,20,30,Sandy,2,1,Mexico,peyote,perennial,12,31,3,2,5,8
1202,25,40,70,30,40,Sandy,2,2,Texas,peyote,perennial,11,31,4,3,4,7
1203,35,60,90,10,20,Sandy,2,1,Arizona,peyote,perennial,13,31,2,1,6,9
1204,40,70,100,5,15,Sandy,2,1,New Mexico,peyote,perennial,14,31,2,0,7,10
1205,30,50,80,20,30,Sandy,2,2,Peru,peyote,perennial,12,31,3,2,5,8
1211,25,70,50,60,75,Loamy,6,4,Japan/Tokyo,japanese lantern,perennial,11,17,8,6,7,5
1212,20,60,40,70,70,Sandy,2,2,China/Beijing,japanese lantern,perennial,10,31,7,7,6,4
1218,20,65,60,50,80,Loamy,6,2,Australia/Sydney,primrose,perennial,10,17,8,5,6,6
1219,16,50,40,30,65,Loamy,6,1,Germany/Berlin,primrose,perennial,9,17,6,3,5,4
1232,20,55,70,50,60,Sandy,7,2,Japan/Tokyo,knapweed,perennial,10,31,6,5,6,7
1235,20,40,30,25,55,Loamy,6,2,Greece,knapweed,perennial,10,17,6,2,4,3
1240,15,50,60,40,60,Well-drained,6,2,Australia/Sydney,white stonecrop,perennial,9,50,6,4,5,6
1247,20,65,70,60,75,Silty,6,2,United States/New York,watercress,perennial,10,41,8,6,6,7
1248,25,75,80,70,70,Sandy,6,2,Australia/Sydney,watercress,perennial,11,31,7,7,8,8
1250,15,65,60,55,80,Silty,6,4,Germany/Berlin,watercress,perennial,9,41,8,6,6,6
1256,28,50,90,60,60,Sandy,2,2,Namibia,hoodia gordonii,perennial,11,31,6,6,5,9
1259,27,45,85,55,55,Sandy,6,4,Angola,hoodia gordonii,perennial,11,31,6,6,4,8
1270,20,30,10,10,80,Clay,6,4,Germany/Berlin,birdsfoot trefoil,perennial,10,5,8,1,3,1
1278,25,80,90,40,50,Loamy,6,2,Australia/Sydney,feverfew,perennial,11,17,5,4,8,9
1279,30,90,100,30,40,Loamy,6,2,Canada/Toronto,feverfew,perennial,12,17,4,3,9,10
1280,35,100,100,20,30,Loamy,6,2,Netherlands/Amsterdam,feverfew,perennial,13,17,3,2,10,10
1286,25,60,80,70,60,Sandy,6,4,China,ramie,perennial,11,31,6,7,6,8
1287,20,50,70,60,50,Sandy,6,2,India,ramie,perennial,10,31,5,6,5,7
1296,25,75,80,60,70,Sandy,6,2,United Kingdom/London,common hogweed,perennial,11,31,7,6,8,8
1301,15,40,60,70,60,Sandy,6,2,France,slimy inula,perennial,9,31,6,7,4,6
1304,30,70,90,100,90,Loamy,6,4,Italy,slimy inula,perennial,12,17,9,10,7,9
1305,35,80,100,110,100,Sandy,6,4,Portugal,slimy inula,perennial,13,31,10,11,8,10
1312,20,40,50,60,60,Sandy,2,2,France/Paris,fetid hellebore,perennial,10,31,6,6,4,5
1325,17,50,70,45,65,Sandy,6,2,Argentina/Córdoba,pink garlic,perennial,9,31,6,4,5,7
1333,30,80,90,90,85,Silty,6,4,Australia/Sydney,swamp population,perennial,12,41,8,9,8,9
1385,20,30,10,40,80,Loamy,6,2,United States/Florida,pistia stratiotes,perennial,10,17,8,4,3,1
1387,30,80,90,100,90,Muddy,6,4,India/Kolkata,sacred lotus,perennial,12,22,9,10,8,9
1398,25,80,70,100,90,Loamy,6,4,Japan,crosne from japan,perennial,11,17,9,10,8,7
1401,25,60,70,40,50,Loamy,6,4,Japan,japanese banana,perennial,11,17,5,4,6,7
1416,20,40,60,60,70,Loamy,6,4,Turkey/Istanbul,martagon lily,perennial,10,17,7,6,4,6
1417,15,50,70,70,80,Loamy,6,4,Germany/Berlin,martagon lily,perennial,9,17,8,7,5,7
1418,25,60,80,80,90,Loamy,6,4,Netherlands/Amsterdam,martagon lily,perennial,11,17,9,8,6,8
1420,15,40,60,60,70,Loamy,6,4,France/Paris,martagon lily,perennial,9,17,7,6,4,6
1421,20,65,50,70,60,Moist,15,4,United States/New York,marsh horsetail,perennial,10,21,6,7,6,5
1423,18,60,45,80,70,Moist,4,1,Canada/Toronto,marsh horsetail,perennial,9,21,7,8,6,4
1424,23,70,55,75,65,Moist,16,2,Australia/Sydney,marsh horsetail,perennial,10,21,6,8,7,6
1425,21,63,58,72,68,Moist,15,4,Germany/Berlin,marsh horsetail,perennial,10,21,7,7,6,6
1426,25,40,80,70,60,Sandy,2,1,United States/California,eschscholzia californica,perennial,11,31,6,7,4,8
1428,30,60,90,80,50,Loamy,6,4,Australia/Sydney,eschscholzia californica,perennial,12,17,5,8,6,9
1429,25,45,75,65,55,Sandy,2,2,Spain,eschscholzia californica,perennial,11,31,6,6,4,8
1466,25,40,20,50,60,Loamy,6,4,United States/Kansas,kansas feather,perennial,11,17,6,5,4,2
1467,30,50,30,40,70,Sandy,6,4,United States/Kansas,kansas feather,perennial,12,31,7,4,5,3
1468,20,60,40,30,80,Loamy,6,2,United States/Kansas,kansas feather,perennial,10,17,8,3,6,4
1469,25,70,50,20,90,Loamy,6,4,United States/Kansas,kansas feather,perennial,11,17,9,2,7,5
1470,30,50,60,40,70,Sandy,6,4,United States/Kansas,kansas feather,perennial,12,31,7,4,5,6
1474,22,75,90,65,75,Loamy,6,4,Germany/Berlin,houseleek of the roofs,perennial,10,17,8,6,8,9
1475,17,60,70,50,70,Sandy,2,1,Netherlands/Amsterdam,houseleek of the roofs,perennial,9,31,7,5,6,7
1504,25,65,80,55,80,Loamy,6,2,Netherlands/Amsterdam,soapwort,perennial,11,17,8,6,6,8
1512,20,50,80,40,60,Clay loam,6,2,Netherlands/Amsterdam,muscari armeniacum,perennial,10,7,6,4,5,8
1514,18,50,60,60,60,Silt loam,6,2,France/Paris,muscari armeniacum,perennial,9,40,6,6,5,6
1515,22,60,70,60,70,Sandy loam,6,2,United States/New York,muscari armeniacum,perennial,10,36,7,6,6,7
1562,18,75,60,70,75,Sandy,6,4,France/Paris,endive chicory,perennial,9,31,8,7,8,6
1563,22,60,80,50,60,Loamy,2,2,Belgium/Brussels,endive chicory,perennial,10,17,6,5,6,8
1564,25,70,90,60,75,Clay,6,2,Netherlands/Amsterdam,endive chicory,perennial,11,5,8,6,7,9
1571,20,50,70,40,60,Sandy,2,1,South Africa/Cape Town,haworthia fasciata,perennial,10,31,6,4,5,7
1574,18,45,60,35,55,Loamy,2,1,Australia/Sydney,haworthia fasciata,perennial,9,17,6,4,4,6
1599,30,90,100,90,90,Loamy,6,4,Australia/Sydney,solidago virgaurea,perennial,12,17,9,9,9,10
1600,35,95,100,100,95,Loamy,6,4,Germany/Berlin,solidago virgaurea,perennial,13,17,10,10,10,10
1614,22,80,85,70,90,Loamy,6,2,Brazil/Rio de Janeiro,asplenium nidus,perennial,10,17,9,7,8,8
1633,30,80,90,60,60,Clay,6,4,Italy,panicaut,perennial,12,5,6,6,8,9
1634,15,50,70,100,90,Loamy,6,4,Germany,panicaut,perennial,9,17,9,10,5,7
1655,15,50,60,50,60,Loamy,6,1,United States/Darlingtonia,darlingtonia californica,perennial,9,17,6,5,5,6
1656,18,70,60,60,70,Sandy,6,2,Italy/Rome,garlic rocambole,perennial,9,31,7,6,7,6
1664,30,90,80,90,85,Loamy,6,4,Australia/Sydney,darmera peltata,perennial,12,17,8,9,9,8
1665,35,100,90,100,90,Loamy,6,4,Germany/Berlin,darmera peltata,perennial,13,17,9,10,10,9
1667,20,70,60,80,80,Loamy,6,4,Japan/Tokyo,stevia rebaudiana,perennial,10,17,8,8,7,6
1720,30,80,100,70,60,Loamy,6,4,Parana,red mate,perennial,12,17,6,7,8,10
1721,15,60,50,70,60,Clayey,6,2,United Kingdom/London,yellow deadnettle,perennial,9,8,6,7,6,5
1722,20,70,60,80,70,Sandy,6,4,France/Paris,yellow deadnettle,perennial,10,31,7,8,7,6
1724,30,90,80,100,90,Loamy,6,4,Netherlands/Amsterdam,yellow deadnettle,perennial,12,17,9,10,9,8
1725,35,100,90,110,100,Clayey,6,4,United States/New York,yellow deadnettle,perennial,13,8,10,11,10,9
1731,15,70,60,40,80,Sandy,6,2,Switzerland/Interlaken,alpine columbine,perennial,9,31,8,4,7,6
1734,16,70,65,45,80,Loamy,6,2,France/Chamonix,alpine columbine,perennial,9,17,8,4,7,6
1769,30,70,100,90,80,Loamy,6,4,Australia/Sydney,wild strawberry,perennial,12,17,8,9,7,10
1770,10,50,60,50,60,Loamy,6,2,Germany/Berlin,wild strawberry,perennial,8,17,6,5,5,6
1772,10,40,50,60,50,Sandy,6,2,Canada/Toronto,siberian iris,perennial,8,31,5,6,4,5
1773,12,45,55,65,55,Loamy,6,4,China/Harbin,siberian iris,perennial,8,17,6,6,4,6
1774,8,35,45,55,45,Loamy,6,4,Norway/Oslo,siberian iris,perennial,7,17,4,6,4,4
1775,7,30,40,50,40,Loamy,6,4,Germany/Berlin,siberian iris,perennial,7,17,4,5,3,4
1776,25,80,60,50,70,Loamy,6,4,Indonesia,arum titan,perennial,11,17,7,5,8,6
1777,30,75,70,60,80,Loamy,6,4,Thailand,arum titan,perennial,12,17,8,6,8,7
1780,30,80,60,50,70,Loamy,6,4,Philippines,arum titan,perennial,12,17,7,5,8,6
1796,20,70,60,40,60,Well-drained,6,2,France/Paris,blue clematis,perennial,10,50,6,4,7,6
1803,23,45,80,50,60,Loamy,6,4,Mexico/Mexico City,wild onion,perennial,10,17,6,5,4,8
1808,20,40,50,50,50,Loamy,6,2,Australia/Sydney,graham sage,perennial,10,17,5,5,4,5
1816,25,75,80,70,60,Sandy,6,4,United States/California,alfalfa black medic,perennial,11,31,6,7,8,8
1818,25,80,85,75,65,Sandy,6,4,Spain/Madrid,alfalfa black medic,perennial,11,31,6,8,8,8
1824,20,55,70,65,70,Sandy,6,4,Singapore,male orchid,perennial,10,31,7,6,6,7
1826,30,80,70,90,70,Swampy,6,4,United States/Florida,swamp sage,perennial,12,47,7,9,8,7
1828,32,80,75,95,70,Swampy,6,4,Mexico/Veracruz,swamp sage,perennial,12,47,7,10,8,8
1829,29,75,65,90,75,Swampy,6,4,Brazil/Amazon Rainforest,swamp sage,perennial,11,47,8,9,8,6
1830,27,70,55,80,70,Swampy,6,4,Australia/Northern Territory,swamp sage,perennial,11,47,7,8,7,6
1833,25,70,80,40,50,Clay,6,2,Greece,greece anemone,perennial,11,5,5,4,7,8
1840,15,35,40,70,75,Loamy,6,2,Greece,oriental papaver,perennial,9,17,8,7,4,4
1870,25,80,90,20,75,Loamy,6,4,United States,white garlic,perennial,11,17,8,2,8,9
1874,20,40,40,50,50,Loamy,6,2,United States/New York,greater celandine,perennial,10,17,5,5,4,4
1875,25,30,20,40,40,Loamy,6,1,Australia/Sydney,greater celandine,perennial,11,17,4,4,3,2
1881,20,30,50,40,70,Sandy,2,2,Turkey,sempervivum arachnoideum,perennial,10,31,7,4,3,5
1882,22,35,60,50,75,Sandy loam,6,2,Italy,sempervivum arachnoideum,perennial,10,36,8,5,4,6
1883,18,25,40,30,60,Loamy,6,1,Spain,sempervivum arachnoideum,perennial,9,17,6,3,2,4
1888,25,70,80,90,90,Loamy,6,4,France/Paris,angelica,perennial,11,17,9,9,7,8
1895,20,50,70,70,80,Loamy,6,2,Mexico/Mexico City,swollen silenus,perennial,10,17,8,7,5,7
1898,18,40,50,75,70,Loamy,6,4,United Kingdom,fragrant violet,perennial,9,17,7,8,4,5
1905,18,75,70,70,80,Loamy,6,2,Canada/Toronto,spotted arum,perennial,9,17,8,7,8,7
1920,20,50,70,55,60,Silt,6,2,Germany/Berlin,tall buttercup,perennial,10,38,6,6,5,7
1932,13,50,70,40,60,Loamy,6,2,Austria/Vienna,alpine aster,perennial,8,17,6,4,5,7
1934,14,58,62,47,68,Loamy,6,2,Italy/Milan,alpine aster,perennial,8,17,7,5,6,6
1952,30,60,90,50,60,Sandy,2,1,Arizona/Phoenix,candle cactus,perennial,12,31,6,5,6,9
1953,20,80,70,60,70,Loamy,6,2,Brazil/São Paulo,candle cactus,perennial,10,17,7,6,8,7
1954,25,50,80,70,60,Sandy,2,1,Egypt/Cairo,candle cactus,perennial,11,31,6,7,5,8
1955,30,70,100,60,80,Sandy,6,4,Australia/Melbourne,candle cactus,perennial,12,31,8,6,7,10
1962,30,65,80,75,75,Sandy,6,2,India/Mumbai,blue hibiscus,perennial,12,31,8,8,6,8
1981,15,50,60,40,60,Rocky,2,1,Switzerland/Zermatt,houseleek of the mountains,perennial,9,30,6,4,5,6
1984,30,80,90,70,90,Loamy,6,4,France/Chamonix,houseleek of the mountains,perennial,12,17,9,7,8,9
1985,35,90,100,80,100,Loamy,6,4,Spain/Granada,houseleek of the mountains,perennial,13,17,10,8,9,10
2000,15,60,40,70,70,Sandy,2,2,France/Pyrenees,pyrenean ornithogalum,perennial,9,31,7,7,6,4
2002,10,50,40,60,80,Sandy,6,4,France/Paris,green hellebore,perennial,8,31,8,6,5,4
2003,20,70,60,40,70,Clay,6,2,Spain/Barcelona,green hellebore,perennial,10,5,7,4,7,6
2024,24,70,90,80,80,Clay,6,4,Australia/Sydney,sparganium erectum,perennial,10,5,8,8,7,9
2042,18,35,50,70,70,Loamy,6,4,United States/New York,foxglove,perennial,9,17,7,7,4,5
2047,20,75,60,70,60,Well-drained,6,4,Italy/Sardinia,corsican mint,perennial,10,50,6,7,8,6
2048,10,85,40,50,80,Well-drained,6,4,United Kingdom,corsican mint,perennial,8,50,8,5,8,4
2049,15,80,50,60,70,Well-drained,6,4,Germany,corsican mint,perennial,9,50,7,6,8,5
2052,18,65,80,60,75,Sandy loam,6,2,Netherlands,tufted grape hyacinth,perennial,9,36,8,6,6,8
2053,20,70,90,70,80,Loamy,6,4,United States/New York,tufted grape hyacinth,perennial,10,17,8,7,7,9
2056,15,70,50,60,70,Loamy,6,4,Germany/Berlin,lungwort,perennial,9,17,7,6,7,5
2080,10,60,50,50,70,Loamy,6,2,Belgium,eranthis hyemalis,perennial,8,17,7,5,6,5
2088,22,75,80,60,85,Peaty,6,4,United States/Alabama,sarracenia flava,perennial,10,26,8,6,8,8
2089,20,70,75,50,80,Loamy,6,2,Canada/Ontario,sarracenia flava,perennial,10,17,8,5,7,8
2090,18,60,70,40,75,Sandy,6,2,United Kingdom,sarracenia flava,perennial,9,31,8,4,6,7
2099,23,55,85,75,55,Sandy,2,1,Italy,albuca spiralis,perennial,10,31,6,8,6,8
