temperature,hydrometry_rate,sunshine_rate,rainfall,humidity_rate,soil_type,moisture,water_level,suitable_plantation_location,seed_name,plant_name
26,75,70,50,65,Loamy,6,4,Singapore,male orchid,orchid
24,70,75,45,60,Loamy,6,4,Philippines/Manila,male orchid,orchid
20,60,80,70,70,Loamy,6,2,China/Beijing,jester orchid,orchid
25,70,100,80,80,Loamy,6,4,Japan/Tokyo,jester orchid,orchid
22,65,90,75,75,Loamy,6,2,India/Bangalore,jester orchid,orchid
23,68,95,78,78,Loamy,6,4,Brazil/Rio de Janeiro,jester orchid,orchid
18,55,75,65,65,Loamy,6,2,Greece,jester orchid,orchid
25,65,85,80,70,Loamy,6,4,Australia/Sydney,dendrobium kingianum,orchid
20,60,80,70,65,Sandy,6,2,Thailand/Bangkok,dendrobium kingianum,orchid
22,70,90,75,75,Loamy,6,4,New Zealand/Auckland,dendrobium kingianum,orchid
18,55,75,60,60,Sandy,6,2,United States/Honolulu,dendrobium kingianum,orchid
23,75,95,85,80,Loamy,6,4,Brazil/Brasília,dendrobium kingianum,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,dendrobium moniliforme,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,dendrobium moniliforme,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,dendrobium moniliforme,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,dendrobium moniliforme,orchid
20,30,10,10,80,Loamy,6,2,Greece,dendrobium moniliforme,orchid
25,70,100,80,80,Loamy,6,4,India/Assam,dendrobium aphyllum,orchid
20,60,80,70,70,Sandy,2,2,Thailand,dendrobium aphyllum,orchid
25,70,100,80,80,Loamy,6,4,Philippines,dendrobium aphyllum,orchid
20,60,80,70,70,Sandy,2,2,Indonesia,dendrobium aphyllum,orchid
20,30,10,10,80,Loamy,6,2,Malaysia,dendrobium aphyllum,orchid
20,70,80,60,70,Loamy,6,2,Colombia/Ibagué,epidendrum ibaguense,orchid
25,60,70,50,80,Sandy,6,4,Ecuador/Quito,epidendrum ibaguense,orchid
15,80,90,70,75,Loamy,6,2,Mexico/Mexico City,epidendrum ibaguense,orchid
22,65,75,55,70,Loamy,6,2,Peru/Lima,epidendrum ibaguense,orchid
18,75,85,65,65,Loamy,6,2,Argentina/Buenos Aires,epidendrum ibaguense,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,hyacinth orchid,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,hyacinth orchid,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,hyacinth orchid,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,hyacinth orchid,orchid
20,30,10,10,80,Loamy,6,2,Greece,hyacinth orchid,orchid
25,60,70,80,80,Loamy,6,4,Brazil/Rio de Janeiro,cattleya labiata,orchid
20,50,60,70,70,Loamy,6,2,Colombia/Medellin,cattleya labiata,orchid
25,60,70,80,80,Loamy,6,4,Ecuador/Quito,cattleya labiata,orchid
20,50,60,70,70,Loamy,6,2,Venezuela/Caracas,cattleya labiata,orchid
20,30,10,10,80,Loamy,6,2,Thailand/Bangkok,cattleya labiata,orchid
25,70,100,80,80,Loamy,6,4,Australia,dendrobium speciosum,orchid
20,60,80,70,70,Sandy,2,2,Indonesia,dendrobium speciosum,orchid
30,80,90,60,75,Loamy,6,4,Malaysia,dendrobium speciosum,orchid
15,50,70,90,85,Loamy,6,4,Philippines,dendrobium speciosum,orchid
20,40,60,70,70,Loamy,6,2,Thailand,dendrobium speciosum,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,loose-flowered orchids,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,loose-flowered orchids,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,loose-flowered orchids,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,loose-flowered orchids,orchid
20,30,10,10,80,Loamy,6,2,Greece,loose-flowered orchids,orchid
23,75,60,90,85,Clay,8,4,United States/Louisiana,swamp epipactis,orchid
20,80,70,75,80,Silt,6,2,Canada/Ontario,swamp epipactis,orchid
25,70,90,85,75,Peaty,6,4,Netherlands/Amsterdam,swamp epipactis,orchid
22,65,75,80,80,Muddy,8,4,Australia/Melbourne,swamp epipactis,orchid
21,70,65,70,75,Loam,6,2,United Kingdom/London,swamp epipactis,orchid
20,60,80,70,70,Sandy,2,2,Netherlands,crimson dactylorhiza,orchid
18,65,75,75,75,Clay,6,4,United Kingdom,crimson dactylorhiza,orchid
22,55,90,85,80,Silt,6,4,Sweden,crimson dactylorhiza,orchid
21,70,95,80,75,Loamy,6,4,France,crimson dactylorhiza,orchid
23,60,85,70,70,Sandy,2,2,Spain,crimson dactylorhiza,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,coral root,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,coral root,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,coral root,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,coral root,orchid
20,30,10,10,80,Loamy,6,2,Greece,coral root,orchid
20,70,80,60,60,Loamy,6,4,Spain,red cephalanther,orchid
22,65,70,55,55,Loamy,6,4,France,red cephalanther,orchid
18,75,90,70,70,Loamy,6,4,Germany,red cephalanther,orchid
23,60,75,65,65,Loamy,6,4,Italy,red cephalanther,orchid
21,70,85,75,75,Loamy,6,4,United Kingdom,red cephalanther,orchid
20,60,80,70,70,Loamy,6,4,China/Beijing,broad-leaved helleborine,orchid
25,70,100,80,80,Sandy,2,2,Japan/Tokyo,broad-leaved helleborine,orchid
15,50,70,60,60,Loamy,6,1,India/Bangalore,broad-leaved helleborine,orchid
20,60,80,70,70,Loamy,6,4,Brazil/Rio de Janeiro,broad-leaved helleborine,orchid
22,65,90,75,75,Sandy,6,2,Greece,broad-leaved helleborine,orchid
20,60,80,70,70,Loamy,6,2,China/Beijing,spotted dactylorhiza,orchid
25,70,100,80,80,Loamy,6,4,Japan/Tokyo,spotted dactylorhiza,orchid
25,60,80,70,70,Loamy,6,2,India/Bangalore,spotted dactylorhiza,orchid
20,70,100,80,80,Loamy,6,4,Brazil/Rio de Janeiro,spotted dactylorhiza,orchid
20,30,10,10,80,Loamy,6,2,Greece,spotted dactylorhiza,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,two leaf orchid,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,two leaf orchid,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,two leaf orchid,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,two leaf orchid,orchid
20,30,10,10,80,Loamy,6,2,Greece,two leaf orchid,orchid
18,60,40,70,80,Loamy,6,4,China/Beijing,creeping goodyera,orchid
20,70,60,80,70,Loamy,6,4,Japan/Tokyo,creeping goodyera,orchid
25,65,80,70,75,Loamy,6,2,India/Bangalore,creeping goodyera,orchid
18,55,70,60,70,Loamy,6,2,Brazil/Rio de Janeiro,creeping goodyera,orchid
20,50,60,40,65,Loamy,6,2,Greece,creeping goodyera,orchid
20,40,60,50,50,Loamy,6,2,United States/New York,calypso bulbosa,orchid
18,45,70,55,55,Loamy,6,2,Canada/Toronto,calypso bulbosa,orchid
22,38,75,60,60,Loamy,6,2,Norway/Oslo,calypso bulbosa,orchid
25,35,80,65,65,Loamy,6,2,Sweden/Stockholm,calypso bulbosa,orchid
16,50,65,70,70,Loamy,6,2,Germany/Berlin,calypso bulbosa,orchid
25,70,100,80,80,Sandy,6,4,USA/Hawaii,spotted coralrhiza,orchid
20,60,80,70,70,Loamy,6,2,Canada/British Columbia,spotted coralrhiza,orchid
25,70,100,80,80,Sandy,6,4,Australia/New South Wales,spotted coralrhiza,orchid
20,60,80,70,70,Loamy,6,2,Germany/Bavaria,spotted coralrhiza,orchid
20,30,10,10,80,Loamy,6,2,Sweden,spotted coralrhiza,orchid
25,70,100,80,80,Loamy,6,4,Taiwan/Taichung,formosa orchid,orchid
18,65,90,75,75,Loamy,6,2,Brazil/Manaus,formosa orchid,orchid
22,60,80,70,70,Loamy,6,2,Thailand/Bangkok,formosa orchid,orchid
23,75,95,85,80,Loamy,6,4,Vietnam/Ho Chi Minh City,formosa orchid,orchid
20,70,90,75,75,Loamy,6,2,Indonesia/Jakarta,formosa orchid,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,aplectrum hyemale,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,aplectrum hyemale,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,aplectrum hyemale,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,aplectrum hyemale,orchid
20,30,10,10,80,Loamy,6,2,Greece,aplectrum hyemale,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,high orchid,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,high orchid,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,high orchid,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,high orchid,orchid
20,30,10,10,80,Loamy,6,2,Greece,high orchid,orchid
15,60,60,60,70,Loamy,6,2,France,may dactylorhiza,orchid
20,65,70,70,75,Loamy,6,2,Germany,may dactylorhiza,orchid
25,70,80,80,80,Loamy,6,4,Netherlands,may dactylorhiza,orchid
18,60,70,60,75,Loamy,6,2,United Kingdom,may dactylorhiza,orchid
22,65,75,70,80,Loamy,6,2,Spain,may dactylorhiza,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,neglected orchid,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,neglected orchid,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,neglected orchid,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,neglected orchid,orchid
20,30,10,10,80,Loamy,6,2,Greece,neglected orchid,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,burnt orchid,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,burnt orchid,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,burnt orchid,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,burnt orchid,orchid
20,30,10,10,80,Loamy,6,2,Greece,burnt orchid,orchid
25,70,60,60,70,Loamy,6,4,China/Beijing,helmeted orchid,orchid
20,80,70,70,80,Sandy,6,2,India/Bangalore,helmeted orchid,orchid
25,60,70,80,70,Loamy,6,4,Brazil/Rio de Janeiro,helmeted orchid,orchid
20,70,60,70,80,Sandy,6,2,USA/Miami,helmeted orchid,orchid
20,70,60,70,80,Loamy,6,2,Thailand/Bangkok,helmeted orchid,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,greenish coeloglossus,orchid
23,75,90,70,85,Loamy,6,2,India/Mumbai,greenish coeloglossus,orchid
22,65,80,60,75,Loamy,6,2,Australia/Sydney,greenish coeloglossus,orchid
20,70,85,75,80,Loamy,6,4,Mexico/Mexico City,greenish coeloglossus,orchid
18,60,75,70,70,Loamy,6,2,South Africa/Cape Town,greenish coeloglossus,orchid
20,70,50,60,60,Loamy,6,4,Spain,serapias in heart,orchid
25,80,70,60,70,Sandy,6,4,Italy,serapias in heart,orchid
15,60,40,70,80,Sandy,6,2,France,serapias in heart,orchid
20,70,80,60,60,Loamy,6,4,Germany,serapias in heart,orchid
25,80,70,60,70,Sandy,6,4,Netherlands,serapias in heart,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,tongue serapias,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,tongue serapias,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,tongue serapias,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,tongue serapias,orchid
20,30,10,10,80,Loamy,6,2,Greece,tongue serapias,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,blackish purple epipactis,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,blackish purple epipactis,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,blackish purple epipactis,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,blackish purple epipactis,orchid
20,30,10,10,80,Loamy,6,2,Greece,blackish purple epipactis,orchid
20,70,60,80,80,Loamy,6,4,Netherlands/Amsterdam,marsh orchid,orchid
18,65,55,70,75,Sandy,6,2,Germany/Berlin,marsh orchid,orchid
22,75,70,90,85,Loamy,6,4,England/London,marsh orchid,orchid
15,60,50,80,75,Loamy,6,2,Sweden/Stockholm,marsh orchid,orchid
25,80,80,70,80,Loamy,6,4,France/Paris,marsh orchid,orchid
22,65,90,60,75,Loamy,6,2,Japan/Tokyo,midge orchid,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,midge orchid,orchid
20,60,80,70,70,Sandy,2,2,India/Bangalore,midge orchid,orchid
25,70,100,80,80,Loamy,6,4,Brazil/Rio de Janeiro,midge orchid,orchid
22,65,90,60,75,Loamy,6,2,Greece,midge orchid,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,large list,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,large list,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,large list,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,large list,orchid
20,30,10,10,80,Loamy,6,2,Greece,large list,orchid
20,60,80,70,70,Sandy,2,2,Turkey/Istanbul,damask cephalanthera,orchid
22,65,75,75,75,Loamy,6,4,France/Paris,damask cephalanthera,orchid
24,70,80,80,80,Clayey,6,4,Italy/Rome,damask cephalanthera,orchid
20,60,70,70,70,Sandy,6,2,Germany/Berlin,damask cephalanthera,orchid
22,65,75,75,75,Loamy,6,4,Netherlands/Amsterdam,damask cephalanthera,orchid
20,60,80,70,70,Loamy,6,2,United Kingdom/London,narrow-leaved cephalanthera,orchid
22,65,90,75,75,Loamy,6,2,Germany/Berlin,narrow-leaved cephalanthera,orchid
18,55,70,65,65,Loamy,6,2,France/Paris,narrow-leaved cephalanthera,orchid
25,70,100,80,80,Loamy,6,4,Spain/Madrid,narrow-leaved cephalanthera,orchid
20,60,80,70,70,Loamy,6,2,Italy/Rome,narrow-leaved cephalanthera,orchid
25,70,100,80,80,Loamy,6,4,France/Provence,ophrys aurelian,orchid
30,60,90,70,70,Sandy,6,2,Italy/Sardinia,ophrys aurelian,orchid
20,80,100,90,80,Loamy,6,4,Spain/Mallorca,ophrys aurelian,orchid
25,70,80,60,70,Sandy,6,2,Portugal/Algarve,ophrys aurelian,orchid
30,80,90,70,80,Loamy,6,4,Greece/Cyclades,ophrys aurelian,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,small-leaved helleborine,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,small-leaved helleborine,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,small-leaved helleborine,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,small-leaved helleborine,orchid
20,30,10,10,80,Loamy,6,2,Greece,small-leaved helleborine,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,ophrys bombyx,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,ophrys bombyx,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,ophrys bombyx,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,ophrys bombyx,orchid
20,30,10,10,80,Loamy,6,2,Greece,ophrys bombyx,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,muller's epipactis,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,muller's epipactis,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,muller's epipactis,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,muller's epipactis,orchid
20,30,10,10,80,Loamy,6,2,Greece,muller's epipactis,orchid
25,70,100,80,80,Loamy,6,4,Spain,brown ophrys,orchid
20,60,80,70,70,Sandy,2,2,France,brown ophrys,orchid
25,70,100,80,80,Loamy,6,4,Italy,brown ophrys,orchid
20,60,80,70,70,Sandy,2,2,Greece,brown ophrys,orchid
20,30,10,10,80,Loamy,6,2,Turkey,brown ophrys,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,tares of the meadows,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,tares of the meadows,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,tares of the meadows,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,tares of the meadows,orchid
20,30,10,10,80,Loamy,6,2,Greece,tares of the meadows,orchid
20,60,80,70,70,Sandy,2,2,Spain/Valencia,yellow ophrys,orchid
25,70,100,80,80,Loamy,6,4,France/Marseille,yellow ophrys,orchid
23,65,90,75,75,Loamy,6,2,Italy/Rome,yellow ophrys,orchid
22,68,95,78,78,Loamy,6,2,Belgium/Brussels,yellow ophrys,orchid
24,72,98,82,82,Loamy,6,4,Netherlands/Amsterdam,yellow ophrys,orchid
25,60,80,80,70,Loamy,6,4,Italy,ophrys woodcock,orchid
20,50,70,70,60,Sandy,6,2,Spain,ophrys woodcock,orchid
25,60,80,80,70,Loamy,6,4,France,ophrys woodcock,orchid
20,50,70,70,60,Sandy,6,2,Germany,ophrys woodcock,orchid
20,30,10,10,80,Loamy,6,2,Greece,ophrys woodcock,orchid
15,40,60,50,50,Loamy,6,2,United States/New York,leafless epipogon,orchid
20,70,80,70,60,Loamy,6,4,Australia/Sydney,leafless epipogon,orchid
25,60,90,80,70,Loamy,6,4,South Africa/Cape Town,leafless epipogon,orchid
15,30,40,60,70,Loamy,6,2,Germany/Berlin,leafless epipogon,orchid
20,50,70,70,60,Loamy,6,2,Canada/Toronto,leafless epipogon,orchid
10,50,40,60,70,Sandy,2,2,Switzerland/Zurich,alpine orchid,orchid
5,60,30,50,80,Loamy,6,4,Austria/Vienna,alpine orchid,orchid
15,40,50,70,60,Loamy,6,2,Italy/Rome,alpine orchid,orchid
20,30,60,40,50,Sandy,2,1,France/Paris,alpine orchid,orchid
10,70,20,80,70,Loamy,6,4,Germany/Berlin,alpine orchid,orchid
20,40,60,60,60,Sandy,2,1,France,large-flowered ophrys,orchid
22,50,70,70,70,Loamy,6,2,Italy,large-flowered ophrys,orchid
18,45,65,60,65,Clay,6,2,Spain,large-flowered ophrys,orchid
23,55,75,70,70,Loamy,6,2,Germany,large-flowered ophrys,orchid
21,50,70,65,65,Sandy,6,2,Netherlands,large-flowered ophrys,orchid
25,70,100,80,80,Loamy,6,4,Ecuador,cyrtochilum serratum,orchid
20,60,80,70,70,Loamy,6,2,Colombia,cyrtochilum serratum,orchid
22,65,85,75,75,Loamy,6,2,Peru,cyrtochilum serratum,orchid
23,68,90,78,78,Loamy,6,4,Bolivia,cyrtochilum serratum,orchid
21,63,82,72,72,Loamy,6,2,Venezuela,cyrtochilum serratum,orchid
20,40,70,60,60,Loamy,6,2,Ecuador/Quito,epidendrum ciliare,orchid
25,50,80,70,70,Sandy,6,2,Colombia/Bogota,epidendrum ciliare,orchid
22,45,75,65,65,Loamy,6,2,Peru/Lima,epidendrum ciliare,orchid
23,55,85,75,75,Sandy,6,2,Costa Rica/San Jose,epidendrum ciliare,orchid
21,42,72,62,62,Loamy,6,2,Venezuela/Caracas,epidendrum ciliare,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,anguloa clowesii,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,anguloa clowesii,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,anguloa clowesii,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,anguloa clowesii,orchid
20,30,10,10,80,Loamy,6,2,Greece,anguloa clowesii,orchid
30,60,70,50,70,Sandy,6,4,Brazil/Rio de Janeiro,cyrtopodium punctatum,orchid
25,50,60,40,60,Loamy,6,2,Mexico/Cancun,cyrtopodium punctatum,orchid
20,40,50,30,50,Loamy,6,2,Colombia/Bogota,cyrtopodium punctatum,orchid
25,60,70,50,70,Loamy,6,4,Peru/Lima,cyrtopodium punctatum,orchid
20,50,60,40,60,Sandy,6,2,Venezuela/Caracas,cyrtopodium punctatum,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,celia bella,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,celia bella,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,celia bella,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,celia bella,orchid
20,30,10,10,80,Loamy,6,2,Greece,celia bella,orchid
25,70,100,80,80,Loamy,6,4,Thailand,chiloschista lunifera,orchid
30,60,90,70,60,Sandy,6,2,India,chiloschista lunifera,orchid
20,80,80,60,70,Loamy,6,4,Malaysia,chiloschista lunifera,orchid
25,70,100,80,80,Loamy,6,4,Indonesia,chiloschista lunifera,orchid
20,60,80,70,70,Sandy,6,2,Philippines,chiloschista lunifera,orchid
20,50,60,70,70,Loamy,6,4,Thailand/Bangkok,coelogyne flaccida,orchid
25,70,80,80,80,Sandy,6,4,Malaysia/Kuala Lumpur,coelogyne flaccida,orchid
20,60,70,70,70,Loamy,6,2,Indonesia/Jakarta,coelogyne flaccida,orchid
25,70,80,80,80,Sandy,6,4,Philippines/Manila,coelogyne flaccida,orchid
20,60,70,70,70,Loamy,6,2,Vietnam/Hanoi,coelogyne flaccida,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,nocturnal epidermis,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,nocturnal epidermis,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,nocturnal epidermis,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,nocturnal epidermis,orchid
20,30,10,10,80,Loamy,6,2,Greece,nocturnal epidermis,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,spathoglottis plicata,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,spathoglottis plicata,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,spathoglottis plicata,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,spathoglottis plicata,orchid
20,30,10,10,80,Loamy,6,2,Greece,spathoglottis plicata,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,cattleya amethystoglossa,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,cattleya amethystoglossa,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,cattleya amethystoglossa,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,cattleya amethystoglossa,orchid
20,30,10,10,80,Loamy,6,2,Greece,cattleya amethystoglossa,orchid
20,50,60,80,70,Loamy,6,4,United States/Seattle,cephalanthera austiniae,orchid
25,70,80,90,80,Sandy,6,4,France/Paris,cephalanthera austiniae,orchid
22,60,70,70,75,Loamy,6,2,Australia/Sydney,cephalanthera austiniae,orchid
23,65,75,75,70,Loamy,6,2,Germany/Berlin,cephalanthera austiniae,orchid
21,55,65,70,65,Loamy,6,2,Canada/Toronto,cephalanthera austiniae,orchid
25,70,100,80,80,Loamy,6,4,Ecuador,epidendrum radicans,orchid
20,60,80,70,70,Loamy,6,2,Colombia,epidendrum radicans,orchid
25,70,100,80,80,Loamy,6,4,Peru,epidendrum radicans,orchid
20,60,80,70,70,Loamy,6,2,Costa Rica,epidendrum radicans,orchid
20,30,10,10,80,Loamy,6,2,Venezuela,epidendrum radicans,orchid
22,65,90,60,75,Loamy,6,2,China/Beijing,calanthe discolor,orchid
23,70,95,65,80,Loamy,6,2,Japan/Tokyo,calanthe discolor,orchid
25,75,100,70,85,Loamy,6,4,India/Bangalore,calanthe discolor,orchid
21,60,80,55,70,Loamy,6,2,Brazil/Rio de Janeiro,calanthe discolor,orchid
20,55,75,50,65,Loamy,6,2,Greece,calanthe discolor,orchid
25,70,100,80,80,Loamy,6,4,Brazil/Rio de Janeiro,cattleya bicolor,orchid
22,65,90,70,75,Sandy,6,2,Mexico/Mexico City,cattleya bicolor,orchid
26,75,100,90,80,Loamy,6,4,Ecuador/Quito,cattleya bicolor,orchid
24,70,95,85,85,Loamy,6,4,Thailand/Bangkok,cattleya bicolor,orchid
20,60,80,70,70,Sandy,6,2,Australia/Sydney,cattleya bicolor,orchid
28,65,90,70,70,Loamy,6,4,Colombia,epidendrum secundum,orchid
25,70,100,80,80,Loamy,6,4,Ecuador,epidendrum secundum,orchid
22,60,80,70,70,Loamy,6,2,Peru,epidendrum secundum,orchid
20,65,90,70,70,Loamy,6,2,Venezuela,epidendrum secundum,orchid
25,70,100,80,80,Loamy,6,4,Brazil,epidendrum secundum,orchid
25,70,100,80,80,Loamy,6,4,United States/Washington,corallorhiza odontorhiza,orchid
20,60,80,70,70,Sandy,2,2,Canada/Ontario,corallorhiza odontorhiza,orchid
25,70,100,80,80,Loamy,6,4,Australia/Sydney,corallorhiza odontorhiza,orchid
20,60,80,70,70,Sandy,2,2,New Zealand/Wellington,corallorhiza odontorhiza,orchid
20,30,10,10,80,Loamy,6,2,United Kingdom/London,corallorhiza odontorhiza,orchid
25,70,100,80,80,Loamy,6,4,Brazil/Rio de Janeiro,cattleya elongata,orchid
20,60,80,70,70,Sandy,2,2,Costa Rica/San Jose,cattleya elongata,orchid
25,70,100,80,80,Loamy,6,4,Ecuador/Quito,cattleya elongata,orchid
20,60,80,70,70,Sandy,2,2,Colombia/Bogota,cattleya elongata,orchid
20,30,10,10,80,Loamy,6,2,Peru/Lima,cattleya elongata,orchid
20,50,70,60,60,Loamy,6,4,United States/New York,goodyera oblongifolia,orchid
